wName2,wTrueRank2,wEstRank2,wTrueBin2,wEstBin2
1251,762,670,2,2
1252,763,988,2,2
1253,764,1094,2,2
1254,765,1088,2,2
1255,766,1137,2,2
1257,767,781,2,2
1258,768,790,2,2
1260,769,989,2,2
1262,770,594,2,1
1263,771,1030,2,2
1265,772,1140,2,2
1266,773,316,2,1
1267,774,905,2,2
1268,775,128,2,1
1269,776,1300,2,3
1270,777,558,2,1
1271,778,685,2,2
1272,779,1021,2,2
1273,780,1363,2,3
1275,781,606,2,2
1276,782,1199,2,2
1278,783,956,2,2
1280,784,971,2,2
1281,785,1357,2,3
1283,786,1349,2,3
1284,787,774,2,2
1285,788,975,2,2
1288,789,1341,2,3
1289,790,1346,2,3
1290,791,1358,2,3
1293,792,737,2,2
1295,793,699,2,2
1297,794,1209,2,3
1299,795,1228,2,3
1300,796,926,2,2
1301,797,914,2,2
1302,798,939,2,2
1303,799,791,2,2
1304,800,1328,2,3
1305,801,1320,2,3
1306,802,990,2,2
1308,803,792,2,2
1309,804,270,2,1
1310,805,1069,2,2
1312,806,947,2,2
1317,807,786,2,2
1319,808,1301,2,3
1321,809,1078,2,2
1322,810,245,2,1
1326,811,714,2,2
1327,812,1364,2,3
1330,813,924,2,2
1333,814,1229,2,3
1335,815,991,2,2
1336,816,743,2,2
1337,817,1041,2,2
1340,818,1302,2,3
1342,819,350,2,1
1343,820,724,2,2
1344,821,1335,2,3
1347,822,1102,2,2
1349,823,681,2,2
1351,824,992,2,2
1352,825,485,2,1
1353,826,1168,2,2
1354,827,1230,2,3
1355,828,793,2,2
1357,829,1322,2,3
1359,830,723,2,2
1361,831,935,2,2
1362,832,349,2,1
1364,833,759,2,2
1365,834,1231,2,3
1367,835,1070,2,2
1369,836,1109,2,2
1371,837,141,2,1
1373,838,264,2,1
1374,839,745,2,2
1375,840,431,2,1
1376,841,1095,2,2
1377,842,511,2,1
1378,843,964,2,2
1379,844,1206,2,3
1380,845,1082,2,2
1381,846,299,2,1
1382,847,968,2,2
1383,848,27,2,1
1384,849,1026,2,2
1385,850,981,2,2
1388,851,782,2,2
1389,852,433,2,1
1390,853,88,2,1
1394,854,937,2,2
1395,855,732,2,2
1396,856,754,2,2
1397,857,254,2,1
1400,858,1359,2,3
1402,859,1162,2,2
1403,860,212,2,1
1405,861,1232,2,3
1407,862,587,2,1
1409,863,729,2,2
1410,864,1323,2,3
1411,865,919,2,2
1412,866,457,2,1
1413,867,453,2,1
1414,868,1355,2,3
1415,869,283,2,1
1416,870,361,2,1
1417,871,328,2,1
1419,872,1210,2,3
1420,873,730,2,2
1421,874,665,2,2
1422,875,804,2,2
1423,876,1350,2,3
1426,877,1071,2,2
1427,878,1089,2,2
1431,879,217,2,1
1432,880,602,2,2
1433,881,1057,2,2
1434,882,1233,2,3
1435,883,709,2,2
1436,884,733,2,2
1438,885,993,2,2
1439,886,600,2,1
1440,887,1234,2,3
1441,888,1303,2,3
1442,889,1083,2,2
1443,890,1169,2,2
1444,891,1040,2,2
1446,892,712,2,2
1448,893,1066,2,2
1450,894,762,2,2
1454,895,1360,2,3
1456,896,735,2,2
1458,897,428,2,1
1462,898,1285,2,3
1463,899,794,2,2
1464,900,976,2,2
1465,901,1006,2,2
1466,902,1090,2,2
1468,903,1235,2,3
1469,904,442,2,1
1470,905,952,2,2
1471,906,1304,2,3
1473,907,1305,2,3
1474,908,618,2,2
1476,909,994,2,2
1477,910,508,2,1
1479,911,206,2,1
1484,912,210,2,1
1485,913,687,2,2
1486,914,255,2,1
1487,915,936,2,2
1488,916,664,2,2
1489,917,1294,2,3
1492,918,421,2,1
1495,919,1306,2,3
1497,920,666,2,2
1499,921,1236,2,3
1501,922,595,2,1
1502,923,1035,2,2
1504,924,948,2,2
1505,925,795,2,2
1508,926,1324,2,3
1509,927,913,2,2
1510,928,1293,2,3
1512,929,1307,2,3
1514,930,623,2,2
1515,931,1289,2,3
1516,932,1237,2,3
1518,933,763,2,2
1519,934,1238,2,3
1520,935,690,2,2
1521,936,807,2,2
1523,937,1050,2,2
1525,938,922,2,2
1528,939,969,2,2
1529,940,1203,2,3
1531,941,1342,2,3
1534,942,1075,2,2
1535,943,940,2,2
1536,944,1096,2,2
1537,945,973,2,2
1538,946,1013,2,2
1539,947,1239,2,3
1540,948,1072,2,2
1541,949,222,2,1
1542,950,1240,2,3
1543,951,355,2,1
1544,952,1073,2,2
1545,953,796,2,2
1546,954,944,2,2
1548,955,582,2,1
1549,956,1172,2,2
1552,957,750,2,2
1553,958,368,2,1
1554,959,1347,2,3
1555,960,1036,2,2
1556,961,1097,2,2
1558,962,932,2,2
1559,963,1195,2,2
1560,964,465,2,1
1561,965,704,2,2
1562,966,1241,2,3
1563,967,708,2,2
1564,968,1242,2,3
1565,969,1243,2,3
1569,970,1245,2,3
1570,971,280,2,1
1571,972,1337,2,3
1572,973,463,2,1
1575,974,583,2,1
1576,975,1308,2,3
1577,976,1246,2,3
1579,977,1332,2,3
1581,978,929,2,2
1584,979,1325,2,3
1586,980,808,2,2
1589,981,692,2,2
1590,982,612,2,2
1593,983,740,2,2
1594,984,1247,2,3
1597,985,1343,2,3
1598,986,619,2,2
1602,987,575,2,1
1603,988,925,2,2
1605,989,359,2,1
1607,990,237,2,1
1613,991,424,2,1
1616,992,1329,2,3
1617,993,1309,2,3
1618,994,1076,2,2
1621,995,977,2,2
1623,996,1367,2,3
1624,997,673,2,2
1625,998,950,2,2
1626,999,1017,2,2
1627,1000,911,2,2
1632,1001,1330,2,3
1634,1002,771,2,2
1635,1003,1248,2,3
1639,1004,982,2,2
1646,1005,629,2,2
1647,1006,696,2,2
1652,1007,1249,2,3
1654,1008,1250,2,3
1656,1009,697,2,2
1657,1010,797,2,2
1658,1011,995,2,2
1659,1012,1361,2,3
1660,1013,688,2,2
1664,1014,1310,2,3
1665,1015,958,2,2
1667,1016,798,2,2
1669,1017,772,2,2
1670,1018,577,2,1
1671,1019,996,2,2
1672,1020,503,2,1
1673,1021,1251,2,3
1677,1022,1288,2,3
1679,1023,83,2,1
1680,1024,1197,2,2
1682,1025,1173,2,2
1686,1026,1159,2,2
1689,1027,362,2,1
1690,1028,966,2,2
1691,1029,741,2,2
1692,1030,1103,2,2
1693,1031,1291,2,3
